--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: 9fSmTWRUEAV4ALYz9SHLthzJqzNubMSwhBpww9vXZwxS
Genesis Hash: ADcCRpQFT2veRBBSdefW7AjDeMNo542dhUdd8kxsD8j2
Version: 2.2.0
Shred Version: 61339
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:07 | Processed Slot: 548 | Confirmed Slot: 548 | Finalized Slot: 516 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 546 | ◎499.997277500
00:00:08 | Processed Slot: 549 | Confirmed Slot: 549 | Finalized Slot: 517 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 547 | ◎499.997272500
00:00:08 | Processed Slot: 550 | Confirmed Slot: 550 | Finalized Slot: 518 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 548 | ◎499.997267500
00:00:08 | Processed Slot: 550 | Confirmed Slot: 550 | Finalized Slot: 518 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 548 | ◎499.997267500
00:00:08 | Processed Slot: 551 | Confirmed Slot: 551 | Finalized Slot: 519 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 549 | ◎499.997262500
00:00:09 | Processed Slot: 552 | Confirmed Slot: 552 | Finalized Slot: 520 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 550 | ◎499.997257500
00:00:09 | Processed Slot: 552 | Confirmed Slot: 552 | Finalized Slot: 520 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 550 | ◎499.997257500
00:00:09 | Processed Slot: 553 | Confirmed Slot: 553 | Finalized Slot: 521 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 551 | ◎499.997252500
00:00:09 | Processed Slot: 553 | Confirmed Slot: 553 | Finalized Slot: 521 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 551 | ◎499.997252500
00:00:10 | Processed Slot: 554 | Confirmed Slot: 554 | Finalized Slot: 522 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 552 | ◎499.997247500
00:00:10 | Processed Slot: 555 | Confirmed Slot: 555 | Finalized Slot: 523 | Full Snapshot Slot: 500 | Incremental Snapshot Slot: - | Transactions: 553 | ◎499.997242500
